# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-10-01 16:19:18
# Generated from file: C:\Users\nellin\Documents\Python Scripts\SBD_files\2021-06-05 MB posMS lipids_DHAsublim.slx
# Object Full Name: PCA_06-05-2021_MB_Imaging
# Object ID: 4bc6ff20-b56f-4d2f-8ce6-2354ad0fbddf
# Object type: PCA
# Object creation time: 2021-06-28 12:48:23
#
m/z;Component 1;Component 2;Component 3;Component 4;Component 5
760.58434;0.257623496052328;0.0739163702093077;0.676110630569917;-0.00193473027258823;-0.405801819062115
758.56795;0.00662268082772233;0.00542614266261518;0.0161055458278745;0.0383266975157561;0.0170570503584926
782.56405;0.131248484358206;-0.039448032746238;0.108083144678713;0.00976652845256065;0.087980231550066
798.54217;0.555319124112206;-0.620492304553807;0.2702080262181;-0.117068127393293;0.261294357809082
872.55581;0.0397359469649521;-0.0499014219462058;0.0555514571330782;0.720448393591213;-0.0762714819046357
734.19916;0.273156524568736;0.732768865213997;0.286351035423511;-0.174023107771551;0.146291537231177
731.27804;0.0599701018148156;0.172435812021996;0.0915069230155939;0.431856348620868;0.591026369886444
772.46013;0.720002365949034;0.173402254448502;-0.595160755135537;0.050644547296919;-0.186278464192054
806.46721;0.024611109845875;0.0021311053203797;0.0487177285307056;0.150204729627321;-0.183078286492424
810.45425;0.0331149366863974;-0.0193193667051679;0.0556895499588208;-0.0632695804366704;0.189306712680487
834.45465;0.0130937757439912;-0.00691421108842174;0.0300140587421744;0.24545033787973;0.00939557167171269
844.46786;0.0627244978546982;-0.0359119669415485;0.0244500798163714;0.31572673394448;-0.295866523488047
848.51539;0.05683328079868;-0.0319761664436724;-0.0365793232478667;-0.156460232269302;0.349031916439946
732.60768;0.0258807052718116;0.0766581965796503;0.0391881826638998;0.186137095854315;0.2594314023483
554.289550957498;0.00847841528873207;0.0072480828905605;0.0182345276392617;-0.00200103930990937;-0.0378648427911263
555.291603208156;0.00275199810945146;0.00202017302020256;0.00566002983071117;-7.94342492576802e-06;-0.0117150795095606
558.319617493957;0.000350092476576514;-0.005142147976507;0.00602279651907118;-0.0266029548246513;0.0104595223457457
